,First Name,Last Name,Club,Value
144,Philipp,Förster,Stuttgart,207.3
145,Roland,Sallai,Freiburg,206.2
146,Paulo,Otávio,Wolfsburg,206.0
147,Julian,Brandt,Dortmund,202.5
148,Ömer,Toprak,Bremen,202.4
149,,Iago,Augsburg,201.8
150,Pavel,Kaderábek,Hoffenheim,201.0
151,Serge,Gnabry,Bayern,200.5
152,Timo,Becker,Schalke,200.4
153,Ryan,Sessegnon,Hoffenheim,200.1
154,Miloš,Veljkovic,Bremen,199.6
155,Andreas,Luthe,Union,198.7
156,Thomas,Meunier,Dortmund,198.6
157,Marcel,Halstenberg,Leipzig,197.2
158,Kevin,Möhwald,Bremen,197.2
159,Emil,Forsberg,Leipzig,196.8
160,Nordi,Mukiele,Leipzig,196.1
161,Ruben,Vargas,Augsburg,196.1
162,Kevin,Mbabu,Wolfsburg,195.3
163,Dominik,Kohr,Mainz,195.2
164,Daley,Sinkgraven,Leverkusen,195.0
165,Leonardo,Bittencourt,Bremen,194.2
166,Raphael,Framberger,Augsburg,193.3
167,Stefan,Ilsanker,Frankfurt,193.1
168,Erik,Durm,Frankfurt,192.0
169,Péter,Gulácsi,Leipzig,190.9
170,Anderson,Lucoqui,Bielefeld,190.7
171,Keven,Schlotterbeck,Freiburg,190.0
172,Renato,Steffen,Wolfsburg,188.3
173,Timo,Horn,Koeln,188.1
174,Tanguy,Coulibaly,Stuttgart,187.1
175,Milot,Rashica,Bremen,187.1
176,Max,Kruse,Union,186.7
177,Lucas,Hernández,Bayern,186.7
178,Stefan,Ortega,Bielefeld,186.7
179,Robin,Quaison,Mainz,185.8
180,Marco,Richter,Augsburg,183.8
181,Ermedin,Demirovic,Freiburg,182.4
182,Gregor,Kobel,Stuttgart,181.5
183,Christian,Groß,Bremen,181.4
184,Hannes,Wolf,Moenchengladbach,181.2
185,Amin,Younes,Frankfurt,181.0
186,Koen,Casteels,Wolfsburg,180.7
187,Mark,Uth,Schalke,178.9
188,Alexander,Sørloth,Leipzig,177.7
189,Jonathan,Burkardt,Mainz,177.6
190,Lukas,Klostermann,Leipzig,176.2
191,Mahmoud,Dahoud,Dortmund,176.0
192,,Wendell,Leverkusen,175.6
193,Florian,Müller,Freiburg,175.2
194,Matthew,Hoppe,Schalke,174.4
195,Sead,Kolašinac,Schalke,174.0
196,Thomas,Delaney,Dortmund,174.0
197,Niklas,Süle,Bayern,173.6
198,,Tuta,Frankfurt,173.3
199,Daniel,Brosinski,Mainz,173.2
200,Denis,Zakaria,Moenchengladbach,171.4
201,Fabian,Kunze,Bielefeld,171.3
202,Nils,Petersen,Freiburg,171.1
203,Jiri,Pavlenka,Bremen,169.6
204,Yussuf,Poulsen,Leipzig,169.5
205,Manuel,Neuer,Bayern,168.7
206,Robert,Gumny,Augsburg,167.7
207,Malick,Thiaw,Schalke,167.6
